,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,mcc
IP114_RSVP_Calibration_Wed_24_Aug_2022_12hr35min04sec_-0700,"0    0.682727
0    0.864545
0    0.908182
Name: mean_test_accuracy, dtype: float64","0    0.094143
0    0.063611
0    0.000000
Name: mean_test_precision, dtype: float64","0    0.276364
0    0.040000
0    0.000000
Name: mean_test_recall, dtype: float64","0    0.139546
0    0.048304
0    0.000000
Name: mean_test_f1, dtype: float64","0    0.506708
0    0.452541
0    0.514876
Name: mean_test_roc_auc, dtype: float64","0    0.500025
0    0.493990
0    0.500000
Name: mean_test_balanced_accuracy, dtype: float64","0    0.001608
0   -0.017734
0    0.000000
Name: mean_test_mcc, dtype: float64"
IP115_RSVP_Calibration_Thu_04_Aug_2022_09hr17min12sec_-0700,"0    0.786364
0    0.899091
0    0.904545
Name: mean_test_accuracy, dtype: float64","0    0.160426
0    0.361667
0    0.300000
Name: mean_test_precision, dtype: float64","0    0.327273
0    0.110000
0    0.070000
Name: mean_test_recall, dtype: float64","0    0.211451
0    0.159903
0    0.109574
Name: mean_test_f1, dtype: float64","0    0.629170
0    0.684449
0    0.674902
Name: mean_test_roc_auc, dtype: float64","0    0.580071
0    0.544490
0    0.529500
Name: mean_test_balanced_accuracy, dtype: float64","0    0.116453
0    0.150192
0    0.115354
Name: mean_test_mcc, dtype: float64"
IP116_RSVP_Calibration_Fri_26_Aug_2022_13hr16min30sec_-0700,"0    0.750000
0    0.899091
0    0.906364
Name: mean_test_accuracy, dtype: float64","0    0.093978
0    0.316667
0    0.100000
Name: mean_test_precision, dtype: float64","0    0.207273
0    0.070000
0    0.010000
Name: mean_test_recall, dtype: float64","0    0.128962
0    0.110856
0    0.018182
Name: mean_test_f1, dtype: float64","0    0.493227
0    0.521080
0    0.513954
Name: mean_test_roc_auc, dtype: float64","0    0.506035
0    0.526485
0    0.503495
Name: mean_test_balanced_accuracy, dtype: float64","0    0.007021
0    0.108731
0    0.021039
Name: mean_test_mcc, dtype: float64"
IP117_RSVP_Calibration_Wed_03_Aug_2022_10hr13min18sec_-0700,"0    0.832727
0    0.849091
0    0.908182
Name: mean_test_accuracy, dtype: float64","0    0.198254
0    0.185783
0    0.000000
Name: mean_test_precision, dtype: float64","0    0.167273
0    0.188182
0    0.000000
Name: mean_test_recall, dtype: float64","0    0.166876
0    0.179360
0    0.000000
Name: mean_test_f1, dtype: float64","0    0.613102
0    0.595387
0    0.505923
Name: mean_test_roc_auc, dtype: float64","0    0.533606
0    0.552045
0    0.500000
Name: mean_test_balanced_accuracy, dtype: float64","0    0.084377
0    0.102221
0    0.000000
Name: mean_test_mcc, dtype: float64"
IP120_RSVP_Calibration_Wed_17_Aug_2022_10hr17min29sec_-0700,"0    0.876364
0    0.938182
0    0.950000
Name: mean_test_accuracy, dtype: float64","0    0.376261
0    0.707623
0    0.858171
Name: mean_test_precision, dtype: float64","0    0.575455
0    0.585455
0    0.534545
Name: mean_test_recall, dtype: float64","0    0.443086
0    0.617023
0    0.642230
Name: mean_test_f1, dtype: float64","0    0.880118
0    0.948282
0    0.966285
Name: mean_test_roc_auc, dtype: float64","0    0.741172
0    0.779707
0    0.763268
Name: mean_test_balanced_accuracy, dtype: float64","0    0.396541
0    0.600145
0    0.646676
Name: mean_test_mcc, dtype: float64"
IP121_RSVP_Calibration_Mon_08_Aug_2022_13hr42min00sec_-0700,"0    0.900000
0    0.920000
0    0.921818
Name: mean_test_accuracy, dtype: float64","0    0.478084
0    0.630556
0    0.613254
Name: mean_test_precision, dtype: float64","0    0.476364
0    0.398182
0    0.389091
Name: mean_test_recall, dtype: float64","0    0.466756
0    0.460850
0    0.454814
Name: mean_test_f1, dtype: float64","0    0.810497
0    0.843422
0    0.842110
Name: mean_test_roc_auc, dtype: float64","0    0.709641
0    0.685566
0    0.682535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.418222
0    0.444333
0    0.440675
Name: mean_test_mcc, dtype: float64"
IP122_RSVP_Calibration_Thu_08_Sep_2022_13hr57min08sec_-0700,"0    0.863636
0    0.942727
0    0.941818
Name: mean_test_accuracy, dtype: float64","0    0.391631
0    0.812886
0    0.801984
Name: mean_test_precision, dtype: float64","0    0.601818
0    0.543636
0    0.435455
Name: mean_test_recall, dtype: float64","0    0.455901
0    0.627752
0    0.544486
Name: mean_test_f1, dtype: float64","0    0.853321
0    0.923047
0    0.902202
Name: mean_test_roc_auc, dtype: float64","0    0.745854
0    0.763308
0    0.714222
Name: mean_test_balanced_accuracy, dtype: float64","0    0.407731
0    0.625162
0    0.559147
Name: mean_test_mcc, dtype: float64"
IP123_RSVP_Calibration_Fri_19_Aug_2022_13hr56min37sec_-0700,"0    0.841818
0    0.917273
0    0.915455
Name: mean_test_accuracy, dtype: float64","0    0.296228
0    0.630476
0    0.698333
Name: mean_test_precision, dtype: float64","0    0.436364
0    0.328182
0    0.169091
Name: mean_test_recall, dtype: float64","0    0.341727
0    0.418429
0    0.261149
Name: mean_test_f1, dtype: float64","0    0.742140
0    0.788973
0    0.784921
Name: mean_test_roc_auc, dtype: float64","0    0.659591
0    0.652576
0    0.580045
Name: mean_test_balanced_accuracy, dtype: float64","0    0.270808
0    0.409396
0    0.304774
Name: mean_test_mcc, dtype: float64"
IP124_RSVP_Calibration_Fri_02_Sep_2022_08hr18min56sec_-0700,"0    0.826364
0    0.899091
0    0.902727
Name: mean_test_accuracy, dtype: float64","0    0.191489
0    0.375000
0    0.431667
Name: mean_test_precision, dtype: float64","0    0.267273
0    0.167273
0    0.109091
Name: mean_test_recall, dtype: float64","0    0.219933
0    0.227857
0    0.163713
Name: mean_test_f1, dtype: float64","0    0.652820
0    0.740691
0    0.742499
Name: mean_test_roc_auc, dtype: float64","0    0.575030
0    0.570126
0    0.546045
Name: mean_test_balanced_accuracy, dtype: float64","0    0.130196
0    0.201590
0    0.169431
Name: mean_test_mcc, dtype: float64"
IP125_RSVP_Calibration_Wed_14_Sep_2022_14hr41min17sec_-0700,"0    0.822727
0    0.922727
0    0.930909
Name: mean_test_accuracy, dtype: float64","0    0.280963
0    0.617918
0    0.821667
Name: mean_test_precision, dtype: float64","0    0.552727
0    0.476364
0    0.319091
Name: mean_test_recall, dtype: float64","0    0.367788
0    0.530342
0    0.444222
Name: mean_test_f1, dtype: float64","0    0.770248
0    0.840061
0    0.915601
Name: mean_test_roc_auc, dtype: float64","0    0.701288
0    0.722162
0    0.656045
Name: mean_test_balanced_accuracy, dtype: float64","0    0.303584
0    0.498497
0    0.474420
Name: mean_test_mcc, dtype: float64"
IP126_RSVP_Calibration_Thu_25_Aug_2022_10hr32min56sec_-0700,"0    0.839091
0    0.922727
0    0.925455
Name: mean_test_accuracy, dtype: float64","0    0.287056
0    0.637540
0    0.651905
Name: mean_test_precision, dtype: float64","0    0.485455
0    0.376364
0    0.377273
Name: mean_test_recall, dtype: float64","0    0.359837
0    0.462357
0    0.468207
Name: mean_test_f1, dtype: float64","0    0.774124
0    0.841284
0    0.848882
Name: mean_test_roc_auc, dtype: float64","0    0.680157
0    0.677177
0    0.679126
Name: mean_test_balanced_accuracy, dtype: float64","0    0.288122
0    0.447373
0    0.455615
Name: mean_test_mcc, dtype: float64"
IP127_RSVP_Calibration_Mon_29_Aug_2022_09hr30min57sec_-0700,"0    0.774545
0    0.918182
0    0.923636
Name: mean_test_accuracy, dtype: float64","0    0.210433
0    0.662027
0    0.730000
Name: mean_test_precision, dtype: float64","0    0.522727
0    0.346364
0    0.268182
Name: mean_test_recall, dtype: float64","0    0.297487
0    0.427921
0    0.384332
Name: mean_test_f1, dtype: float64","0    0.701104
0    0.787765
0    0.797559
Name: mean_test_roc_auc, dtype: float64","0    0.661247
0    0.661157
0    0.629086
Name: mean_test_balanced_accuracy, dtype: float64","0    0.222454
0    0.425835
0    0.407839
Name: mean_test_mcc, dtype: float64"
IP128_RSVP_Calibration_Fri_26_Aug_2022_09hr41min34sec_-0700,"0    0.741818
0    0.894545
0    0.906364
Name: mean_test_accuracy, dtype: float64","0    0.078558
0    0.200000
0    0.000000
Name: mean_test_precision, dtype: float64","0    0.167273
0    0.029091
0    0.000000
Name: mean_test_recall, dtype: float64","0    0.106237
0    0.050000
0    0.000000
Name: mean_test_f1, dtype: float64","0    0.481142
0    0.499308
0    0.458740
Name: mean_test_roc_auc, dtype: float64","0    0.483515
0    0.505545
0    0.499000
Name: mean_test_balanced_accuracy, dtype: float64","0   -0.023406
0    0.041099
0   -0.006058
Name: mean_test_mcc, dtype: float64"
IP129_RSVP_Calibration_Thu_29_Sep_2022_13hr58min47sec_-0700,"0    0.875455
0    0.920909
0    0.921818
Name: mean_test_accuracy, dtype: float64","0    0.371780
0    0.615476
0    0.616905
Name: mean_test_precision, dtype: float64","0    0.457273
0    0.367273
0    0.320000
Name: mean_test_recall, dtype: float64","0    0.404285
0    0.454844
0    0.414893
Name: mean_test_f1, dtype: float64","0    0.815269
0    0.858203
0    0.843093
Name: mean_test_roc_auc, dtype: float64","0    0.687571
0    0.672116
0    0.651495
Name: mean_test_balanced_accuracy, dtype: float64","0    0.341963
0    0.434309
0    0.406539
Name: mean_test_mcc, dtype: float64"
IP130_RSVP_Calibration_Mon_12_Sep_2022_13hr27min39sec_-0700,"0    0.765455
0    0.894545
0    0.911818
Name: mean_test_accuracy, dtype: float64","0    0.181797
0    0.383117
0    0.366667
Name: mean_test_precision, dtype: float64","0    0.404545
0    0.204545
0    0.058182
Name: mean_test_recall, dtype: float64","0    0.243248
0    0.240549
0    0.098268
Name: mean_test_f1, dtype: float64","0    0.701453
0    0.718880
0    0.758470
Name: mean_test_roc_auc, dtype: float64","0    0.603202
0    0.584247
0    0.528086
Name: mean_test_balanced_accuracy, dtype: float64","0    0.150962
0    0.213010
0    0.132211
Name: mean_test_mcc, dtype: float64"
IP131_RSVP_Calibration_Mon_12_Sep_2022_09hr34min04sec_-0700,"0    0.908182
0    0.930909
0    0.939091
Name: mean_test_accuracy, dtype: float64","0    0.494687
0    0.661111
0    0.761025
Name: mean_test_precision, dtype: float64","0    0.536364
0    0.495455
0    0.515455
Name: mean_test_recall, dtype: float64","0    0.506252
0    0.554405
0    0.596404
Name: mean_test_f1, dtype: float64","0    0.868252
0    0.902905
0    0.925070
Name: mean_test_roc_auc, dtype: float64","0    0.741162
0    0.735227
0    0.748727
Name: mean_test_balanced_accuracy, dtype: float64","0    0.461743
0    0.531203
0    0.587598
Name: mean_test_mcc, dtype: float64"
IP132_RSVP_Calibration_Thu_15_Sep_2022_09hr27min27sec_-0700,"0    0.801818
0    0.913636
0    0.913636
Name: mean_test_accuracy, dtype: float64","0    0.204550
0    0.462143
0    0.450000
Name: mean_test_precision, dtype: float64","0    0.378182
0    0.199091
0    0.069091
Name: mean_test_recall, dtype: float64","0    0.261370
0    0.271638
0    0.118415
Name: mean_test_f1, dtype: float64","0    0.666548
0    0.735716
0    0.743844
Name: mean_test_roc_auc, dtype: float64","0    0.611490
0    0.592535
0    0.534040
Name: mean_test_balanced_accuracy, dtype: float64","0    0.172520
0    0.265513
0    0.164789
Name: mean_test_mcc, dtype: float64"
IP133_RSVP_Calibration_Thu_22_Sep_2022_13hr44min19sec_-0700,"0    0.834545
0    0.928182
0    0.935455
Name: mean_test_accuracy, dtype: float64","0    0.267567
0    0.742222
0    0.884762
Name: mean_test_precision, dtype: float64","0    0.437273
0    0.377273
0    0.348182
Name: mean_test_recall, dtype: float64","0    0.327174
0    0.473951
0    0.487615
Name: mean_test_f1, dtype: float64","0    0.752526
0    0.843581
0    0.849736
Name: mean_test_roc_auc, dtype: float64","0    0.656045
0    0.680621
0    0.671586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.252621
0    0.482493
0    0.523894
Name: mean_test_mcc, dtype: float64"
IP134_RSVP_Calibration_Mon_19_Sep_2022_13hr42min55sec_-0700,"0    0.849091
0    0.916364
0    0.917273
Name: mean_test_accuracy, dtype: float64","0    0.328041
0    0.619363
0    0.600000
Name: mean_test_precision, dtype: float64","0    0.507273
0    0.438182
0    0.128182
Name: mean_test_recall, dtype: float64","0    0.389813
0    0.499454
0    0.204679
Name: mean_test_f1, dtype: float64","0    0.790543
0    0.882167
0    0.855896
Name: mean_test_roc_auc, dtype: float64","0    0.695576
0    0.701576
0    0.562591
Name: mean_test_balanced_accuracy, dtype: float64","0    0.325404
0    0.471673
0    0.254312
Name: mean_test_mcc, dtype: float64"
IP135_RSVP_Calibration_Fri_30_Sep_2022_13hr18min41sec_-0700,"0    0.895455
0    0.946364
0    0.943636
Name: mean_test_accuracy, dtype: float64","0    0.452965
0    0.745433
0    0.777381
Name: mean_test_precision, dtype: float64","0    0.643636
0    0.634545
0    0.584545
Name: mean_test_recall, dtype: float64","0    0.528094
0    0.680615
0    0.659692
Name: mean_test_f1, dtype: float64","0    0.878940
0    0.935289
0    0.945762
Name: mean_test_roc_auc, dtype: float64","0    0.782283
0    0.806268
0    0.782268
Name: mean_test_balanced_accuracy, dtype: float64","0    0.483125
0    0.657023
0    0.641437
Name: mean_test_mcc, dtype: float64"
